CODE,STATION,STATE,TempMin,TempMax,DOMin,DOMax,PHMin,PHMax,CONMin,CONMax,BODMin,BODMax,NMin,NMax,FCMin,FCMax,TCMin,TCMax,Year,TempMean,DOMean,PHMean,CONMean,BODMean,NMean,FCMean,TCMean
1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,8.0,8.0,8.6,8.6,8.4,8.4,94,94,,,,,-1,-1,-1,-1,2012,8.0,8.6,8.4,94.0,,,-1.0,-1.0
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,11.0,20.0,8.6,11.4,7.5,8.5,132,156,0.6,1.0,,,5000,5000,2300,7000,2012,15.5,10.0,8.0,144.0,0.8,,5000.0,4650.0
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,12.0,21.0,8.0,9.6,7.4,8.5,80,94,0.4,1.2,,,1100,1100,1100,200000,2012,16.5,8.8,7.95,87.0,0.8,,1100.0,100550.0
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,11.0,20.0,8.2,9.6,7.2,8.5,112,145,0.8,1.0,,,-1,-1,-1,-1,2012,15.5,8.899999999999999,7.85,128.5,0.9,,-1.0,-1.0
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,14.0,18.0,8.4,11.2,7.4,8.5,132,140,1.0,1.2,,,200000,200000,200000,200000,2012,16.0,9.8,7.95,136.0,1.1,,200000.0,200000.0
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,17.0,19.0,1.2,9.8,7.2,8.5,89,110,1.2,1.4,,,17000,17000,920,22000,2012,18.0,5.5,7.85,99.5,1.2999999999999998,,17000.0,11460.0
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,15.0,19.0,8.2,10.4,7.3,8.5,118,142,0.6,1.4,,,-1,-1,-1,-1,2012,17.0,9.3,7.9,130.0,1.0,,-1.0,-1.0
1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,10.0,22.0,7.8,9.2,6.8,8.2,104,158,1.0,1.8,,,-1,-1,30,160,2012,16.0,8.5,7.5,131.0,1.4,,-1.0,95.0
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13.0,28.0,0.6,8.0,7.2,8.8,214,619,1.6,12.0,,,-1,-1,300,1600,2012,20.5,4.3,8.0,416.5,6.8,,-1.0,950.0
1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,15.0,24.0,6.0,8.6,5.9,8.8,137,230,2.4,8.4,,,-1,-1,600,1600,2012,19.5,7.3,7.3500000000000005,183.5,5.4,,-1.0,1100.0
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15.0,24.0,7.2,9.2,6.8,8.8,135,202,1.4,4.2,,,-1,-1,160,500,2012,19.5,8.2,7.800000000000001,168.5,2.8,,-1.0,330.0
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,13.0,26.0,7.0,9.8,7.2,7.6,170,260,2.8,3.9,0.13,0.97,21,1700,1000,4800,2012,19.5,8.4,7.4,215.0,3.3499999999999996,0.55,860.5,2900.0
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,17.0,23.0,7.4,12.5,7.0,7.5,170,314,1.8,5.2,0.0,0.75,320,360,490,910,2012,20.0,9.95,7.25,242.0,3.5,0.375,340.0,700.0
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,17.0,23.0,7.6,12.0,7.0,7.6,160,323,1.6,5.6,0.0,1.06,350,550,700,1000,2012,20.0,9.8,7.3,241.5,3.5999999999999996,0.53,450.0,850.0
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,17.0,23.0,8.0,10.2,7.0,7.5,180,270,1.9,4.0,0.0,0.69,360,840,810,1400,2012,20.0,9.1,7.25,225.0,2.95,0.345,600.0,1105.0
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,17.0,24.0,8.2,9.8,7.0,7.8,180,300,0.5,3.8,0.0,0.8,350,920,700,1700,2012,20.5,9.0,7.4,240.0,2.15,0.4,635.0,1200.0
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,16.0,31.0,6.6,11.3,7.6,8.4,18,492,3.0,4.8,0.0,3.36,900,28000,2100,93000,2012,23.5,8.95,8.0,255.0,3.9,1.68,14450.0,47550.0
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,16.0,31.0,6.4,10.8,7.9,8.5,18,476,3.8,5.8,0.0,2.54,700,39000,2000,100000,2012,23.5,8.600000000000001,8.2,247.0,4.8,1.27,19850.0,51000.0
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,16.0,31.0,6.4,11.6,7.4,8.8,23,499,2.6,5.7,0.0,2.32,700,28000,2000,200000,2012,23.5,9.0,8.100000000000001,261.0,4.15,1.16,14350.0,101000.0
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,16.0,31.0,2.8,12.2,7.5,9.1,23,528,2.8,5.9,0.0,2.48,700,39000,2800,200000,2012,23.5,7.5,8.3,275.5,4.35,1.24,19850.0,101400.0
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,16.0,31.0,4.6,10.8,7.2,8.9,29,574,4.6,19.2,0.0,3.68,3900,93000,64000,200000,2012,23.5,7.7,8.05,301.5,11.899999999999999,1.84,48450.0,132000.0
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,16.0,25.0,6.8,8.8,7.7,8.1,159,361,3.1,3.8,0.78,0.9,4300,4900,7000,8500,2012,20.5,7.800000000000001,7.9,260.0,3.45,0.8400000000000001,4600.0,7750.0
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,16.0,25.0,6.9,8.4,7.7,8.1,156,358,3.1,3.7,0.76,0.88,3900,4700,6900,8200,2012,20.5,7.65,7.9,257.0,3.4000000000000004,0.8200000000000001,4300.0,7550.0
1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,20.0,30.0,4.4,9.3,7.7,8.5,310,699,2.6,8.0,0.71,2.2,2200,3500,6000,9000,2012,25.0,6.8500000000000005,8.1,504.5,5.3,1.455,2850.0,7500.0
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,20.0,30.0,6.7,9.6,7.7,8.4,302,684,2.5,6.9,0.69,2.1,2100,2800,3500,8000,2012,25.0,8.15,8.05,493.0,4.7,1.395,2450.0,5750.0
